sample_id,grid_row,grid_col,latitude,longitude,study_area,cell_size_m
sagil_1,0,0,2.341985,102.629998,"Sagil, Tangkak, Johor",1000
sagil_2,0,1,2.342001,102.638985,"Sagil, Tangkak, Johor",1000
sagil_3,0,2,2.342016,102.647971,"Sagil, Tangkak, Johor",1000
sagil_4,0,3,2.342031,102.656958,"Sagil, Tangkak, Johor",1000
sagil_5,0,4,2.342046,102.665945,"Sagil, Tangkak, Johor",1000
sagil_6,0,5,2.342061,102.674931,"Sagil, Tangkak, Johor",1000
sagil_7,0,6,2.342076,102.683918,"Sagil, Tangkak, Johor",1000
sagil_8,1,0,2.332946,102.630014,"Sagil, Tangkak, Johor",1000
sagil_9,1,1,2.332961,102.639000,"Sagil, Tangkak, Johor",1000
sagil_10,1,2,2.332976,102.647987,"Sagil, Tangkak, Johor",1000
sagil_11,1,3,2.332991,102.656973,"Sagil, Tangkak, Johor",1000
sagil_12,1,4,2.333006,102.665960,"Sagil, Tangkak, Johor",1000
sagil_13,1,5,2.333021,102.674946,"Sagil, Tangkak, Johor",1000
sagil_14,1,6,2.333036,102.683933,"Sagil, Tangkak, Johor",1000
sagil_15,2,0,2.323907,102.630029,"Sagil, Tangkak, Johor",1000
sagil_16,2,1,2.323922,102.639015,"Sagil, Tangkak, Johor",1000
sagil_17,2,2,2.323937,102.648002,"Sagil, Tangkak, Johor",1000
sagil_18,2,3,2.323952,102.656988,"Sagil, Tangkak, Johor",1000
sagil_19,2,4,2.323967,102.665975,"Sagil, Tangkak, Johor",1000
sagil_20,2,5,2.323982,102.674961,"Sagil, Tangkak, Johor",1000
sagil_21,2,6,2.323997,102.683948,"Sagil, Tangkak, Johor",1000
sagil_22,3,0,2.314867,102.630044,"Sagil, Tangkak, Johor",1000
sagil_23,3,1,2.314882,102.639030,"Sagil, Tangkak, Johor",1000
sagil_24,3,2,2.314897,102.648016,"Sagil, Tangkak, Johor",1000
sagil_25,3,3,2.314912,102.657003,"Sagil, Tangkak, Johor",1000
sagil_26,3,4,2.314927,102.665989,"Sagil, Tangkak, Johor",1000
sagil_27,3,5,2.314942,102.674976,"Sagil, Tangkak, Johor",1000
sagil_28,3,6,2.314957,102.683963,"Sagil, Tangkak, Johor",1000
sagil_29,4,0,2.305828,102.630059,"Sagil, Tangkak, Johor",1000
sagil_30,4,1,2.305843,102.639045,"Sagil, Tangkak, Johor",1000
sagil_31,4,2,2.305858,102.648031,"Sagil, Tangkak, Johor",1000
sagil_32,4,3,2.305873,102.657018,"Sagil, Tangkak, Johor",1000
sagil_33,4,4,2.305888,102.666004,"Sagil, Tangkak, Johor",1000
sagil_34,4,5,2.305902,102.674991,"Sagil, Tangkak, Johor",1000
sagil_35,4,6,2.305917,102.683977,"Sagil, Tangkak, Johor",1000
sagil_36,5,0,2.296788,102.630074,"Sagil, Tangkak, Johor",1000
sagil_37,5,1,2.296803,102.639060,"Sagil, Tangkak, Johor",1000
sagil_38,5,2,2.296818,102.648046,"Sagil, Tangkak, Johor",1000
sagil_39,5,3,2.296833,102.657032,"Sagil, Tangkak, Johor",1000
sagil_40,5,4,2.296848,102.666019,"Sagil, Tangkak, Johor",1000
sagil_41,5,5,2.296863,102.675005,"Sagil, Tangkak, Johor",1000
sagil_42,5,6,2.296877,102.683992,"Sagil, Tangkak, Johor",1000
sagil_43,6,0,2.287749,102.630089,"Sagil, Tangkak, Johor",1000
sagil_44,6,1,2.287764,102.639075,"Sagil, Tangkak, Johor",1000
sagil_45,6,2,2.287779,102.648061,"Sagil, Tangkak, Johor",1000
sagil_46,6,3,2.287794,102.657047,"Sagil, Tangkak, Johor",1000
sagil_47,6,4,2.287808,102.666034,"Sagil, Tangkak, Johor",1000
sagil_48,6,5,2.287823,102.675020,"Sagil, Tangkak, Johor",1000
sagil_49,6,6,2.287838,102.684006,"Sagil, Tangkak, Johor",1000
